x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
29894,15,49844,14,49833,14,99704,14
60007,19,99709,18,119544,17,199624,19
89784,39,149772,30,189402,29,299746,58
119812,95,199703,86,259473,67,399925,117
149541,150,249748,148,329483,137,499333,208
179590,170,299772,226,399401,221,599201,381
209817,292,349551,302,469709,342,699262,487
239815,549,399376,423,539767,465,799774,804
,,449492,844,609646,735,,
,,,,679413,1693,,
