x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
0,180,0,197,0,238,0,291,0,345,0,515
0,156,0,176,0,208,0,252,0,308,0,571
0,186,0,198,0,222,0,264,0,343,0,592
0,193,0,198,0,283,0,257,0,313,0,489
0,168,0,212,0,233,0,277,0,338,0,570
0,177,0,190,0,214,0,256,0,337,0,520
0,183,0,188,0,233,0,245,0,346,0,505
0,171,0,215,0,226,0,263,10,326,10,553
10,171,10,194,10,220,10,271,10,313,10,485
10,157,10,188,10,214,10,257,10,312,10,603
10,177,10,181,10,210,10,254,10,346,10,580
10,176,10,189,10,260,10,251,10,351,10,535
10,179,10,207,10,224,10,249,10,341,10,544
10,186,10,196,10,221,10,280,10,347,10,610
10,165,10,182,10,210,10,286,30,315,30,550
30,167,30,186,30,223,30,246,30,364,30,561
30,176,30,195,30,225,30,297,30,339,30,646
30,182,30,184,30,219,30,261,30,354,30,628
30,196,30,204,30,222,30,273,30,312,30,569
30,170,30,215,30,222,30,247,30,342,30,491
30,185,30,199,30,231,30,293,30,421,30,633
30,179,30,201,30,244,30,271,50,332,50,576
50,160,50,179,50,212,50,267,50,347,50,840
50,187,50,205,50,221,50,250,50,329,50,546
50,163,50,185,50,210,50,266,50,348,50,608
50,181,50,210,50,247,50,279,50,291,50,429
50,160,50,202,50,211,50,240,50,322,50,534
50,184,50,203,50,220,50,257,50,319,50,492
50,175,50,209,50,219,50,259,100,365,100,586
100,185,100,193,100,230,100,288,100,304,100,558
100,174,100,187,100,219,100,261,100,313,100,604
100,186,100,211,100,247,100,300,100,350,100,457
100,184,100,189,100,229,100,266,100,351,100,526
100,176,100,192,100,240,100,298,100,326,100,539
100,164,100,199,100,227,100,252,100,307,100,754
100,187,100,190,100,219,100,263,150,403,150,511
150,247,150,278,150,306,150,355,150,419,150,515
150,243,150,270,150,316,150,355,150,3512,150,706
150,242,150,273,150,307,150,347,150,445,150,524
150,241,150,271,150,306,150,345,150,400,150,536
150,252,150,276,150,311,150,358,150,403,150,528
150,243,150,271,150,305,150,341,150,399,150,549
150,239,150,274,200,428,150,359,200,518,200,772
200,343,200,375,200,410,200,458,200,519,200,612
200,342,200,376,200,414,200,475,200,509,200,596
200,348,200,378,200,417,200,456,200,510,200,666
200,349,200,381,200,417,200,468,200,516,200,598
200,345,200,391,200,417,200,474,200,510,200,645
200,351,200,379,200,419,200,459,300,727,300,828
200,336,200,380,300,619,300,680,300,739,300,829
300,524,300,568,300,610,300,667,300,747,300,839
300,526,300,571,300,621,300,679,300,740,300,841
300,522,300,571,300,623,300,672,300,774,300,853
300,520,300,553,300,613,300,677,300,749,300,830
300,532,300,566,300,613,300,675,400,939,400,1059
300,524,400,731,400,779,400,856,400,936,400,1072
400,693,400,743,400,788,400,869,400,974,400,1074
400,681,400,740,400,793,400,874,400,989,400,1071
400,688,400,727,400,789,400,867,400,973,400,1059
400,695,400,734,400,783,400,852,400,947,400,1054
400,683,400,735,400,792,400,875,500,1147,500,1280
400,678,500,890,500,966,500,1058,500,1168,500,1302
500,836,500,896,500,963,500,1032,500,1159,500,1302
500,850,500,902,500,961,500,1069,500,1134,500,1302
500,831,500,898,500,975,500,1056,500,1155,500,1284
500,842,500,889,500,968,500,1042,500,1152,500,1278
500,839,500,901,500,959,500,971,,,,
500,846,,,,,,,,,,
