x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
0,178,0,205,0,302,0,352,0,6562
0,174,0,189,0,247,0,345,0,2617
0,179,0,211,0,269,0,389,0,962
0,194,0,219,0,263,0,326,0,885
0,176,0,195,0,244,0,320,0,2029
0,198,0,230,0,239,0,310,0,838
0,177,0,235,0,252,0,305,0,985
0,176,0,212,0,254,10,327,10,1144
10,175,10,234,10,254,10,316,10,915
10,163,10,195,10,249,10,401,10,1252
10,168,10,213,10,254,10,351,10,2116
10,171,10,215,10,277,10,342,10,2362
10,195,10,220,10,243,10,324,10,1646
10,173,10,209,10,277,10,333,30,1866
10,162,10,206,10,291,30,312,30,922
30,169,30,211,30,249,30,380,30,846
30,187,30,209,30,280,30,346,30,1166
30,177,30,213,30,254,30,361,30,789
30,188,30,225,30,251,30,330,30,1473
30,164,30,209,30,271,30,325,30,1101
30,191,30,223,30,286,30,398,50,1248
30,176,30,218,30,258,50,329,50,2523
50,181,50,185,50,242,50,341,50,2095
50,191,50,220,50,276,50,349,50,2372
50,161,50,219,50,234,50,332,50,1134
50,177,50,229,50,264,50,307,50,1708
50,175,50,210,50,254,50,343,50,946
50,184,50,268,50,273,50,325,100,2038
50,186,50,222,50,229,100,357,100,2199
100,188,100,212,100,270,100,328,100,882
100,166,100,191,100,257,100,350,100,1928
100,171,100,229,100,275,100,313,100,2433
100,168,100,222,100,288,100,369,100,1805
100,172,100,206,100,244,100,382,100,3257
100,165,100,224,100,259,100,298,150,914
100,173,100,222,100,226,150,355,150,1409
150,202,150,233,150,277,150,297,150,721
150,182,150,208,150,263,150,4203,150,1316
150,195,150,214,150,283,150,317,150,1774
150,182,150,213,150,278,150,320,200,1433
150,186,150,225,150,280,150,336,200,730
150,187,150,215,150,270,150,357,200,2382
150,186,150,210,150,279,200,367,200,1517
200,233,200,284,200,283,200,416,200,5910
200,227,200,243,200,313,200,362,200,1769
200,240,200,259,200,303,200,380,300,1309
200,228,200,256,200,299,200,369,300,777
200,238,200,250,200,292,200,385,300,1003
200,242,200,275,200,306,300,707,300,1058
200,252,200,250,300,564,300,659,300,1020
300,442,300,514,300,572,300,696,300,1712
300,392,300,537,300,563,300,689,400,1370
300,426,300,521,300,579,300,647,400,1482
300,438,300,459,300,585,300,670,400,1422
300,429,300,523,300,561,400,1165,400,1306
300,436,300,471,400,881,400,1060,400,1451
400,673,400,800,400,1037,400,1151,400,1642
400,684,400,739,400,904,400,1281,500,2061
400,710,400,783,400,903,400,1124,500,2061
400,631,400,773,400,901,400,1149,500,2036
400,667,400,775,400,947,500,1454,500,2077
400,696,400,773,500,1271,500,1560,500,2249
500,898,500,1124,500,1367,500,1700,500,2363
500,910,500,1059,500,1283,500,1648,,
500,945,500,1049,500,1362,500,1587,,
500,936,500,1099,500,1203,500,1528,,
500,942,500,1041,500,1287,,,,
500,953,500,1089,,,,,,
